,name,hp,attack,defense,special_attack,special_defense,speed,total
1,Bulbasaur,45.0,49.0,49.0,65.0,65.0,45.0,318.0
2,Ivysaur,60.0,62.0,63.0,80.0,80.0,60.0,405.0
3,Venusaur,80.0,82.0,83.0,100.0,100.0,80.0,525.0
4,Charmander,39.0,52.0,43.0,60.0,50.0,65.0,309.0
5,Charmeleon,58.0,64.0,58.0,80.0,65.0,80.0,405.0
6,Charizard,78.0,84.0,78.0,109.0,85.0,100.0,534.0
7,Squirtle,44.0,48.0,65.0,50.0,64.0,43.0,314.0
8,Wartortle,59.0,63.0,80.0,65.0,80.0,58.0,405.0
9,Blastoise,79.0,83.0,100.0,85.0,105.0,78.0,530.0
10,Caterpie,45.0,30.0,35.0,20.0,20.0,45.0,195.0
11,Metapod,50.0,20.0,55.0,25.0,25.0,30.0,205.0
12,Butterfree,60.0,45.0,50.0,80.0,80.0,70.0,385.0
13,Weedle,40.0,35.0,30.0,20.0,20.0,50.0,195.0
14,Kakuna,45.0,25.0,50.0,25.0,25.0,35.0,205.0
15,Beedrill,65.0,80.0,40.0,45.0,80.0,75.0,385.0
16,Pidgey,40.0,45.0,40.0,35.0,35.0,56.0,251.0
17,Pidgeotto,63.0,60.0,55.0,50.0,50.0,71.0,349.0
18,Pidgeot,83.0,80.0,75.0,70.0,70.0,91.0,469.0
19,Rattata,30.0,56.0,35.0,25.0,35.0,72.0,253.0
20,Raticate,55.0,81.0,60.0,50.0,70.0,97.0,413.0
21,Spearow,40.0,60.0,30.0,31.0,31.0,70.0,262.0
22,Fearow,65.0,90.0,65.0,61.0,61.0,100.0,442.0
23,Ekans,35.0,60.0,44.0,40.0,54.0,55.0,288.0
24,Arbok,60.0,85.0,69.0,65.0,79.0,80.0,438.0
25,Pikachu,35.0,55.0,30.0,50.0,40.0,90.0,300.0
26,Raichu,60.0,90.0,55.0,90.0,80.0,100.0,475.0
27,Sandshrew,50.0,75.0,85.0,20.0,30.0,40.0,300.0
28,Sandslash,75.0,100.0,110.0,45.0,55.0,65.0,450.0
29,Nidoran♀,55.0,47.0,52.0,40.0,40.0,41.0,275.0
30,Nidorina,70.0,62.0,67.0,55.0,55.0,56.0,365.0
